p, -0.1607, -0.2243, -0.2306, -0.1980, -0.1353, -0.1360, -0.1642, -0.1770, -0.1545, -0.1032, 0.0143, -0.0443, -0.0970, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
b, -0.1607, -0.2242, -0.2287, -0.1781, -0.0538, -0.0822, -0.1533, -0.1762, -0.1521, -0.0834, 0.0516, -0.0302, -0.0962, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
t, -0.1607, -0.2243, -0.2307, -0.1991, -0.1498, -0.1669, -0.1981, -0.1987, -0.1617, -0.0826, 0.0603, -0.0264, -0.0961, -0.1000, -0.0997, -0.0996, -0.0997, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
d, -0.1607, -0.2242, -0.2287, -0.1808, -0.0825, -0.1325, -0.1916, -0.1980, -0.1575, -0.0132, 0.1257, -0.0025, -0.0948, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
k, -0.1607, -0.2241, -0.2262, -0.1421, 0.1737, 0.0040, -0.1477, -0.1694, -0.1369, -0.0810, -0.0041, -0.0567, -0.0975, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
g, -0.1607, -0.2239, -0.2222, -0.0391, 0.5565, 0.3157, -0.1205, -0.1677, -0.1343, -0.0477, 0.0326, -0.0433, -0.0970, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
s, -0.1607, -0.2245, -0.2361, -0.2304, -0.2301, -0.2219, -0.2114, -0.2005, -0.1704, -0.1274, -0.0932, -0.0831, -0.0987, -0.0996, -0.0997, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
S, -0.1607, -0.2245, -0.2356, -0.2278, -0.2258, -0.2170, -0.2084, -0.1989, -0.1722, -0.1357, -0.1084, -0.1003, -0.0999, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
r, -0.1607, -0.2245, -0.2352, -0.2250, -0.2053, -0.0663, 0.4579, 0.2941, -0.0162, -0.0868, -0.0967, -0.0988, -0.0998, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
l, -0.1607, -0.2244, -0.2344, -0.2207, -0.1985, -0.1064, 0.2484, 0.1332, -0.0311, -0.0763, -0.0930, -0.0984, -0.0999, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
a, -0.1607, -0.2244, -0.2342, -0.2203, -0.2066, -0.1802, -0.1208, 0.0752, 0.3268, 0.1926, -0.0278, -0.0936, -0.0997, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
i, -0.1607, -0.2245, -0.2361, -0.2303, -0.2281, -0.2116, -0.1790, -0.1039, 0.0618, 0.0631, -0.0434, -0.0917, -0.0995, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
u, -0.1607, -0.2245, -0.2356, -0.2274, -0.2204, -0.1921, -0.1266, -0.0088, 0.1442, 0.0644, -0.0580, -0.0951, -0.0995, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^, -0.1607, -0.2238, -0.2345, -0.2277, -0.2229, -0.1945, -0.1200, -0.0145, 0.0854, 0.0281, -0.0644, -0.0959, -0.0995, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
-, 0.0530, 0.5505, 0.6583, 0.2801, -0.1976, -0.2203, -0.2114, -0.2006, -0.1731, -0.1362, -0.1085, -0.1004, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
